oid	accepted_name	accepted_rank	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	country_code	references	specimen_no	pbdb_occurrences	gbif_occurrences	lat	lng	utm	paleo_lng	paleo_lat	higher_than	comments
64	Ichthyosauromorpha	clade	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	UCMP 9075	1419478		40.724998	-122.260002					as Shastasaurus careyi
65	Shastasauridae	clade	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	UCMP 9614			40.820831	-122.190834					as Shastasaurus careyi
66	Shastasaurus pacificus	species	233.6	232.82	Lower Tuvalian	Antimonio Formation	Tropites dilleri Ammonite Biozone	El Antimonio District, Sonora, Mexico	MX	Callaway1989JP	UCMP 27141, UCMP 27142, UCMP 27146	909072		30.75	-112.599998					as Shastasaurus careyi
67	Shastasaurus	genus	228.45	205.81	Norian	Martin Bridge Limestone			US	Orr1986UGSPP		1108583		44.943344	-117.333252					
68	Shastasaurus sikanniensis	species	216.58	215.33	Alaunian	Pardonet Formation	Mockina postera Conodont Biozone	Chicken Creek, British Columbia, Canada	CA	Nicholls2004JVP	TMP 94.378.2	882304		57.263611	-123.015282					
69	Euichthyosauria	clade	231.25	228.45	Upper Tuvalian		Klamathites macrolobatus Ammonite Biozone	Berlin Ichthyosaur State Park, Nevada, USA	US	Camp1980PAPS	MNLV MNE FZVE-5	1419479		38.876667	-117.591393					as Shonisaurus mulleri
70	Euichthyosauria	clade	231.25	228.45	Upper Tuvalian		Klamathites macrolobatus Ammonite Biozone	Berlin Ichthyosaur State Park, Nevada, USA	US	Camp1980PAPS	MNLV MNH FZVE-7	1419480		38.876667	-117.591393					as Shonisaurus silberlingi
71	cf. Shonisaurus	genus	209.53	201.36	Rhaetian				DE	Sander2016GPW		1546985		51.565556	9.051111					
72	Ichthyosauria	clade	209.53	201.36	Rhaetian			Bonenburg, Warburg, North Rhine-Westphalia, Germany	DE	Sander2016GPW	LWL MfN P64363			51.565556	9.051111					
73	Shonisaurus popularis	species	233.6	217.52	Tuvalian–Lacian				IT	DallaVecchia2002BSPI		895626		46.533333	12.133333					
