oid	﻿taxon	taxon_rank	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	country_code	references	pbdb_occurrences	specimen_no	lat	lng	utm	paleo_lng	paleo_lat	higher_than	comments
49	Grendelius zhuravlevi	species	149.59	148.35	Middle Volgian		Pavlovia iatriensis Ammonite Subbiozone (lower part of Dorsoplanites panderi Ammonite Biozone)	Samara Region, Russia	RU	Zverkov2015PZIRa		SRM Hb 30192	53.077002	48.396101					
50	Platypterygiinae	clade	149.59	147.53	Middle Volgian		Dorsoplanites panderi Ammonite Biozone?		RU	Zverkov2015PZIRa		SGM 1445-1, 1566							locality unknown
51	Californosaurus perrini	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	1134408	UCMP 9119	40.820831	-122.190834					as Delphinosaurus; locality as from Mazin & Sander (1993)
52	Californosaurus perrini	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	1419476	UCMP 10998	40.820831	-122.190834					locality as from Mazin & Sander (1993)
53	Californosaurus perrini	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC		UCMP 9082	40.820831	-122.190834					locality as from Mazin & Sander (1993)
54	Californosaurus perrini	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC		UCMP 9086	40.820831	-122.190834					locality as from Mazin & Sander (1993)
55	Callawayia neoscapularis	species	221.44	217.52	Lacian	Pardonet Formation	Epigondolella triangularis Conodont Biozone	Williston Lake, British Columbia, Canada	CA	McGowan1994JVPa	820942	ROM 41993	56.07953	-122.689523					
56	Callawayia neoscapularis	species	221.44	217.52	Lacian	Pardonet Formation	Epigondolella triangularis Conodont Biozone	Chicken Creek, British Columbia, Canada	CA	Nicholls2001CJES		TMP 94.380.11	57.309258	-123.174812					locality from Fig. 1
57	Callawayia neoscapularis	species	224.31	221.44	Lacian	Pardonet Formation	Epigondolella quadrata Conodont Biozone	Chicken Creek, British Columbia, Canada	CA	Nicholls2001CJES		TMP 94.382.2	57.297343	-123.174812					locality from Fig. 1
58	Shastasaurus pacificus	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1895AJS	1419468		40.820831	-122.190834					
59	Shastasaurus pacificus	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC		UCMP 9076	40.820831	-122.190834					as Shastasaurus osmonti
60	Shastasaurus pacificus	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC		UCMP 9608	40.820831	-122.190834					as Shastasaurus osmonti
61	Shastasaurus pacificus	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	1186494	UCMP 9081	40.820831	-122.190834					as Shastasaurus osmonti
