occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,plant_organ,plant_organ2,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc_1,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement
871909,occ,NA,NA,96611,Ichthyosaurus intermedius,species,171443,subjective synonym of,Ichthyosaurus communis,NA,species,95786,Rhaetian,Hettangian,208.5,199.3,Wright,1860,32796,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,NA,NA,NA,NA,-2.733333,51.116669,NA,"Cree's Quarry, Street (bed 3)",NA,NA,UK,England,Somerset,based on nearby landmark,minutes,outcrop,U.K. National Grid Reference ST 48 36,gp_mid,8.78,34.24,315,UK,NA,White Lias,Penarth,NA,bed,NA,Cree's Quarry,3,top to bottom,NA,NA,NA,NA,NA,"""shale""","planar lamination,yellow",lithified,NA,Y,NA,NA,NA,NA,NA,carbonate indet.,NA,NA,macrofossils,some,NA,NA,NA,NA,NA,NA,body,NA,parautochthonous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,biostratigraphic,"selective quarrying,surface (in situ),survey of museum collection",NA,some macrofossils,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
872310,occ,NA,NA,96679,Ophthalmosaurus natans,species,173198,NA,Ophthalmosaurus natans,NA,species,96492,Oxfordian,NA,163.5,157.3,O'Keefe et al.,2009,32894,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Ophthalmosaurus,NA,NA,NA,NA,-108.050003,44.566666,embryonic bones presumably belong to this species,Greybull,NA,NA,US,Wyoming,Big Horn,based on nearby landmark,minutes,small collection,near Greybull,gp_mid,-37.63,31.71,101,US,FED,Sundance,NA,Upper,NA,NA,NA,NA,NA,NA,NA,NA,"""final transgressive-regressive cycle of the Sundance Seaway""",NA,"""shale""","glauconitic,gray,green",poorly lithified,NA,Y,sandstone,fine,poorly lithified,NA,NA,marginal marine indet.,NA,NA,macrofossils,many,NA,postcrania,NA,NA,NA,stomach contents with gastroliths and ichthyosaur embryonic elements,body,medium,parautochthonous,NA,NA,NA,NA,NA,NA,frequent,NA,NA,NA,taphonomic,"selective quarrying,surface (in situ),mechanical,field collection",USNM,some macrofossils,NA,NA,F. R. O'Keefe,2005,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
872313,occ,NA,NA,96680,Ophthalmosaurus n. sp. chrisorum,species,242544,recombined as,Arthropterygius chrisorum,NA,species,242544,Oxfordian,Kimmeridgian,163.5,152.1,Maxwell,2010,32895,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Arthropterygius,NA,NA,1,specimens,-113.5,76.151108,"NMC 40608, partial skeleton","Cape Grassy, Melville Island ichthyosaur",NA,NA,CA,Northwest Territories,Melville Island,stated in text,seconds,small collection,NA,gp_mid,-15.83,61.23,106,CA,NA,Ringnes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The specimen was found 51 m above the base of the formation, 3.4 m above a sandstone ledge, and 14.7 m above a lower sandstone ledge, which in turn occurs 36.5 m above the base of the formation.",not reported,NA,NA,NA,Y,sandstone,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,none,many,partial skeletons,NA,NA,NA,"""Basioccipital, basisphenoid, partial right and left articulars, atlas-axis complex, three cervical/anterior dorsal centra, two anterior caudal centra, two posterior caudal centra, neural spine, partial right and left scapulae, right coracoid, right and left humeri, right and left radii, ulnae, and preaxial elements, right and left intermedia, isolated manual phalanges, right and left femora.""",body,good,parautochthonous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,"surface (float),surface (in situ),field collection",NMC,NA,NA,NA,D. A. Russell and R. G. Day,July 21-27 1985,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
880206,occ,NA,NA,97635,Baptanodon n. sp. reedi,species,170321,recombined as,Ophthalmosaurus reedi,NA,species,170321,Late Callovian,Early Oxfordian,164.7,155.7,Gilmore,1907,33338,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Ophthalmosaurus,NA,NA,1,specimens,-107.59063,42.83857,UW DB,Dutton Creek Basin,NA,NA,US,Wyoming,Fremont,based on nearby landmark,5,small collection,"listed only as Dutton Creek Basin, a few hundred feet from the type site of Megalneusaurus rex, which means likely T33N, R90W in the Gas Hills area",gp_mid,-37.85,29.96,101,US,FED,Sundance,NA,Redwater Shale,bed,NA,NA,NA,NA,NA,NA,NA,"""uppermost band of the Shirley stage"" = upper Redwater Shale Mb of Sundance Fm",NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,field collection,UW,NA,NA,NA,W. H. Reed,1905,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
880873,occ,NA,NA,97713,Guizhouicthyosaurus tangae,species,170542,obsolete variant of,Guizhouichthyosaurus tangae,NA,species,170542,Carnian,NA,237,228,Maisch et al.,2006,33393,Chordata,Reptilia,Ichthyosauria,Shastasauridae,Guizhouichthyosaurus,NA,NA,NA,NA,105.199997,25.816668,NA,Wolonggang,NA,NA,CN,Guizhou,Anshun,estimated from map,minutes,outcrop,Wolonggang,gp_mid,110.65,1.99,611,CN,NA,Wayao,NA,Falang,bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,some,NA,"skulls,partial skulls",NA,NA,NA,NA,"body,adpression",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general faunal/floral,"mechanical,survey of museum collection",NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
882304,occ,NA,NA,97843,Shonisaurus sikanniensis,species,170687,recombined as,Shastasaurus sikkaniensis,NA,species,170687,Alaunian,NA,215.56,212,Nicholls and Manabe,2004,33808,Chordata,Reptilia,Ichthyosauria,Shastasauridae,Shastasaurus,NA,NA,NA,NA,-123.015282,57.263611,NA,Sikanni Chief River,NA,NA,CA,British Columbia,NA,stated in text,seconds,outcrop,"""Southwest bank of Sikanni Chief River, northeastern British Columbia, 1.5 km downstream from the mouth of Chicken Creek, 57° 15.81 N, 123°00.92 W""",gp_mid,-41.75,33.5,101,CA,NA,Pardonet,NA,NA,NA,Epigondolella postera,NA,NA,NA,NA,NA,NA,"Also listed: ""Mesohemavatites columbianus ammonite zone, middle Norian, Upper Triassic""",NA,"""limestone""",NA,lithified,"silty,carbonaceous",NA,"""shale""","condensed,black",lithified,calcareous,Y,deep subtidal shelf,NA,NA,macrofossils,many,many,partial skeletons,NA,NA,NA,NA,body,medium,parautochthonous,NA,NA,NA,NA,NA,NA,frequent,NA,NA,NA,general faunal/floral,"selective quarrying,field collection",TMP,"some macrofossils,some microfossils",NA,NA,NA,mid-1990s,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
882305,occ,NA,NA,97843,Macgowania sp.,genus,170863,NA,Macgowania,NA,genus,170863,Alaunian,NA,215.56,212,Nicholls and Manabe,2004,33808,Chordata,Reptilia,Ichthyosauria,NO_FAMILY_SPECIFIED,Macgowania,NA,NA,NA,NA,-123.015282,57.263611,TMP 98.77.7,Sikanni Chief River,NA,NA,CA,British Columbia,NA,stated in text,seconds,outcrop,"""Southwest bank of Sikanni Chief River, northeastern British Columbia, 1.5 km downstream from the mouth of Chicken Creek, 57° 15.81 N, 123°00.92 W""",gp_mid,-41.75,33.5,101,CA,NA,Pardonet,NA,NA,NA,Epigondolella postera,NA,NA,NA,NA,NA,NA,"Also listed: ""Mesohemavatites columbianus ammonite zone, middle Norian, Upper Triassic""",NA,"""limestone""",NA,lithified,"silty,carbonaceous",NA,"""shale""","condensed,black",lithified,calcareous,Y,deep subtidal shelf,NA,NA,macrofossils,many,many,partial skeletons,NA,NA,NA,NA,body,medium,parautochthonous,NA,NA,NA,NA,NA,NA,frequent,NA,NA,NA,general faunal/floral,"selective quarrying,field collection",TMP,"some macrofossils,some microfossils",NA,NA,NA,mid-1990s,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
882306,occ,NA,NA,97843,Callawayia sp.,genus,172959,NA,Callawayia,NA,genus,172959,Alaunian,NA,215.56,212,Nicholls and Manabe,2004,33808,Chordata,Reptilia,Ichthyosauria,Californosauridae,Callawayia,NA,NA,NA,NA,-123.015282,57.263611,"TMP 99.60.1, TMP 99.60.22",Sikanni Chief River,NA,NA,CA,British Columbia,NA,stated in text,seconds,outcrop,"""Southwest bank of Sikanni Chief River, northeastern British Columbia, 1.5 km downstream from the mouth of Chicken Creek, 57° 15.81 N, 123°00.92 W""",gp_mid,-41.75,33.5,101,CA,NA,Pardonet,NA,NA,NA,Epigondolella postera,NA,NA,NA,NA,NA,NA,"Also listed: ""Mesohemavatites columbianus ammonite zone, middle Norian, Upper Triassic""",NA,"""limestone""",NA,lithified,"silty,carbonaceous",NA,"""shale""","condensed,black",lithified,calcareous,Y,deep subtidal shelf,NA,NA,macrofossils,many,many,partial skeletons,NA,NA,NA,NA,body,medium,parautochthonous,NA,NA,NA,NA,NA,NA,frequent,NA,NA,NA,general faunal/floral,"selective quarrying,field collection",TMP,"some macrofossils,some microfossils",NA,NA,NA,mid-1990s,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
882311,occ,NA,NA,97856,Omphalosaurus wolfi,species,176044,NA,Omphalosaurus wolfi,NA,species,176044,Ladinian,NA,242,237,Sander and Faber,2003,33825,Chordata,Reptilia,Ichthyosauria,Omphalosauridae,Omphalosaurus,NA,NA,1,specimens,13.06,47.666668,HBG uncat.,Dürrnberg mountain,NA,NA,DE,Bayern (Bavaria),Berchtesgadener Land,stated in text,seconds,outcrop,"""northern Alps near the Austrian city of Salzburg, the exact locality being the Dürrnberg Mountain near Hallein about 15 km S of Salzburg, but on German territory.""",gp_mid,36.63,16.34,307,DE,NA,Lercheck Limestone,Hallstatt Facies,NA,bed,NA,NA,NA,NA,NA,NA,NA,"""earliest Ladinian age""",NA,"""limestone""",NA,lithified,NA,Y,NA,NA,NA,NA,NA,carbonate indet.,NA,NA,macrofossils,NA,some,NA,partial skeletons,NA,NA,"""a partial, semi-articulated skeleton, consisting of much of the skull and the anterior trunk region""\r\n""The bones differ little in color from the yellowish-gray matrix, generally being somewhat lighter. The bones are little crushed or deformed but bone tissue preservation is exceedingly poor. Most bones, including the skull bones, not only show signs of heavy surface corrosion but the internal structure is heavily damaged as well. This is most obvious in the ribs which are hollow not far from their head to their tip.""",body,medium,parautochthonous,NA,NA,NA,random,rare,NA,frequent,extreme,NA,NA,general faunal/floral,survey of museum collection,NA,some genera,1 specimens,NA,G. Wolf and G. Tichy,1991,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
882593,occ,NA,NA,97873,Qianichthyosaurus zhoui,species,170706,NA,Qianichthyosaurus zhoui,NA,species,170706,Carnian,NA,237,228,Nicholls et al.,2002,33833,Chordata,Reptilia,Ichthyosauria,Toretocnemidae,Qianichthyosaurus,NA,NA,1,individuals,107.26667,26.633333,CMNH V1412/C1120,XinpuXiang,NA,NA,CN,Guizhou,NA,estimated from map,minutes,local area,NA,gp_mid,112.49,2.84,611,CN,NA,Xiaowa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Collected seven meters above the base of the Wayao Formation""\r\nOriginally reported as from the Wayao Formation. However, Cheng et al. (2006) stated that the lower Carnian Xiaowa Formation previously the also known as the Wayao Formation, the Wayo Member of the Falang Formation, and the lower Falang Formation.",NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,many,NA,skeletons,NA,NA,NA,NA,body,excellent,parautochthonous,NA,NA,NA,life position,NA,NA,NA,NA,NA,NA,general faunal/floral,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
883035,occ,NA,NA,97913,Ophthalmosauria indet.,family,93392,obsolete variant of,Ophthalmosauridae,NA,family,170908,Oxfordian,NA,163.5,157.3,Fernandez and Iturralde-Vinent,2000,33847,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,NA,NA,NA,1,specimens,-83.75,22.633333,MNHNH-P 3068,Jagua near Vinales,NA,NA,CU,NA,NA,estimated from map,minutes,local area,Location uncertain,gp_mid,-40.17,-3.31,206,CU,NA,Jagua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,none,NA,partial skulls,NA,NA,NA,NA,body,medium,parautochthonous,NA,NA,NA,random,NA,NA,frequent,NA,NA,NA,general faunal/floral,survey of museum collection,NA,NA,1 specimens,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
884094,occ,NA,NA,98009,Brachypterygius extremus,species,170918,NA,Brachypterygius extremus,NA,species,170918,Tithonian,NA,152.1,145,Fernandez,1997,33885,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Brachypterygius,NA,NA,1,elements,44.383331,-23.200001,CM 47525,Ankilivalo,NA,NA,MG,Tulear,NA,estimated from map,minutes,local area,NA,gp_mid,30.91,-41.42,702,MG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,none,NA,NA,NA,NA,NA,"basioccipital, paddle elements",body,NA,parautochthonous,NA,NA,NA,random,NA,NA,NA,NA,NA,NA,general faunal/floral,NA,CM,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
884095,occ,NA,NA,98009,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,NA,unranked clade,36543,Tithonian,NA,152.1,145,Fernandez,1997,33885,Chordata,Reptilia,Ichthyosauria,NA,NA,NA,NA,1,individuals,44.383331,-23.200001,CM 47526,Ankilivalo,NA,NA,MG,Tulear,NA,estimated from map,minutes,local area,NA,gp_mid,30.91,-41.42,702,MG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,none,NA,NA,NA,NA,NA,"basioccipital, paddle elements",body,NA,parautochthonous,NA,NA,NA,random,NA,NA,NA,NA,NA,NA,general faunal/floral,NA,CM,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
884160,occ,NA,NA,98014,Brachypterygius extremus,species,170918,NA,Brachypterygius extremus,NA,species,170918,Kimmeridgian,NA,157.3,152.1,McGowan,1997,33892,Chordata,Reptilia,Ichthyosauria,Ophthalmosauridae,Brachypterygius,NA,NA,1,individuals,-2.133333,50.616669,BRSMG Ce 16696,Kimmeridge Bay Ichthyosaur,NA,NA,UK,England,Dorset,estimated from map,minutes,outcrop,National Grid Reference SY 9387 7729,gp_mid,14.19,32.63,315,UK,NA,Kimmeridge Clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,some,NA,partial skeletons,NA,NA,NA,NA,body,NA,parautochthonous,NA,NA,NA,random,NA,NA,NA,NA,NA,NA,general faunal/floral,survey of museum collection,NA,NA,1 individuals,NA,Peter Langham,1989,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
884856,occ,NA,NA,98103,Temnodontosaurus platyodon,species,170869,NA,Temnodontosaurus platyodon,NA,species,170869,Sinemurian,NA,199.3,190.8,McGowan,1994,33904,Chordata,Reptilia,Ichthyosauria,NO_FAMILY_SPECIFIED,Temnodontosaurus,NA,NA,1,individuals,-2.9,50.732498,"Multiple specimens, including neotype BMNH 2003",Black Ven ichthyosaur,NA,NA,UK,England,Dorset,estimated from map,seconds,small collection,NA,gp_mid,10.34,37.18,315,UK,NA,NA,NA,NA,NA,Asteroceras obtusum,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,many,NA,partial skeletons,NA,NA,NA,NA,"body,concretion",excellent,parautochthonous,NA,NA,NA,preferred,NA,NA,NA,NA,NA,NA,taxonomic,"selective quarrying,mechanical,acetic,survey of museum collection",NA,NA,1 individuals,NA,David Sole,1987,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
884857,occ,NA,NA,98104,Cymbospondylus n. sp. buchseri,species,171154,NA,Cymbospondylus buchseri,NA,species,171154,Illyrian,NA,247.2,242,Sander,1989,33922,Chordata,Reptilia,Ichthyosauria,Cymbospondylidae,Cymbospondylus,NA,NA,1,individuals,8.940556,45.911945,PIMUZ T 4351,"Cava Tre Fontane, Tessin collection, Monte San Giorgio",NA,NA,CH,NA,NA,estimated from map,seconds,small collection,NA,gp_mid,34.29,16.7,307,CH,NA,Besano,NA,Grenzbitumenzone,group of beds,NA,NA,NA,NA,NA,NA,NA,NA,NA,dolomite,planar lamination,lithified,carbonaceous,NA,NA,NA,NA,NA,NA,lagoonal/restricted shallow subtidal,NA,NA,macrofossils,many,NA,partial skeletons,NA,NA,NA,NA,"body,adpression",good,parautochthonous,NA,NA,NA,preferred,NA,NA,frequent,NA,NA,NA,general faunal/floral,"selective quarrying,survey of museum collection",NA,NA,NA,NA,"B. Peyer, PIMUZ",NA,"""Tessin collection"" of the Palaontologisches Institut und Museum der Universitat Zurich (PIMUZ T. numbers), begun in 1924 by Berhard Peyer and collected through at least 1968.  Ichthyosaur Cymbospondylus collected in 1927.",NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
885368,occ,NA,NA,98150,Leptopterygius tenuirostris,species,171204,recombined as,Leptonectes tenuirostris,NA,species,171204,Hettangian,Pliensbachian,201.3,182.7,McGowan,1989,33929,Chordata,Reptilia,Ichthyosauria,NO_FAMILY_SPECIFIED,Leptonectes,NA,NA,5,individuals,-2.733333,51.116669,"OUM J10305, BMNH R498, WM 527, GTS L/AG/Arch/18, BATGM M3556","Near Street, Somerset",NA,NA,UK,England,Somerset,based on political unit,minutes,local area,NA,gp_mid,10.99,38.67,315,UK,NA,NA,NA,NA,NA,Psiloceras planorbis,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,many,NA,NA,NA,NA,NA,NA,body,NA,parautochthonous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general faunal/floral,NA,"BMNH,OUM",NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
885369,occ,NA,NA,98151,Leptopterygius tenuirostris,species,171204,recombined as,Leptonectes tenuirostris,NA,species,171204,Hettangian,Pliensbachian,201.3,182.7,McGowan,1989,33929,Chordata,Reptilia,Ichthyosauria,NO_FAMILY_SPECIFIED,Leptonectes,NA,NA,2,individuals,-1.15,52.75,LEICS OS.90.1953; BMNH 36182,"Near Barrow-On-Soar, Leicestershire",NA,NA,UK,England,Leicestershire,based on political unit,minutes,local area,NA,gp_mid,11.26,40.57,315,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,some,NA,partial skeletons,NA,NA,NA,NA,body,NA,parautochthonous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general faunal/floral,NA,BMNH,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
885370,occ,NA,NA,98152,Leptopterygius tenuirostris,species,171204,recombined as,Leptonectes tenuirostris,NA,species,171204,Sinemurian,NA,199.3,190.8,McGowan,1989,33929,Chordata,Reptilia,Ichthyosauria,NO_FAMILY_SPECIFIED,Leptonectes,NA,NA,1,individuals,-2.966667,50.716667,DLR '002',Pinhay Bay,NA,NA,UK,England,Devon,estimated from map,minutes,outcrop,NA,gp_mid,10.3,37.15,315,UK,NA,NA,NA,NA,NA,Arietites bucklandi,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,many,NA,skeletons,NA,NA,NA,NA,body,NA,parautochthonous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general faunal/floral,NA,NA,NA,NA,NA,Robert Langham,1979,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
885757,occ,NA,NA,98150,Ichthyosaurus communis,species,95786,NA,Ichthyosaurus communis,NA,species,95786,Hettangian,Pliensbachian,201.3,182.7,McGowan,1974,33931,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,NA,NA,NA,NA,-2.733333,51.116669,"BMNH 2013, 2013a, R44, 14565; SMC J35183, J59575","Near Street, Somerset",NA,NA,UK,England,Somerset,based on political unit,minutes,local area,NA,gp_mid,10.99,38.67,315,UK,NA,NA,NA,NA,NA,Psiloceras planorbis,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,many,NA,NA,NA,NA,NA,NA,body,NA,parautochthonous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general faunal/floral,NA,"BMNH,OUM",NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
885758,occ,NA,NA,98151,Ichthyosaurus comminis,species,36558,species not entered,Ichthyosaurus,NA,genus,36558,Hettangian,Pliensbachian,201.3,182.7,McGowan,1974,33931,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,NA,NA,NA,NA,-1.15,52.75,NA,"Near Barrow-On-Soar, Leicestershire",NA,NA,UK,England,Leicestershire,based on political unit,minutes,local area,NA,gp_mid,11.26,40.57,315,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine indet.,NA,NA,macrofossils,some,NA,partial skeletons,NA,NA,NA,NA,body,NA,parautochthonous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general faunal/floral,NA,BMNH,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
885759,occ,NA,NA,42202,Ichthyosaurus communis,species,95786,NA,Ichthyosaurus communis,NA,species,95786,Semicostatum,NA,196.5,189.6,McGowan,1974,33931,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,NA,NA,5,individuals,-2.933333,50.716667,"BMNH R1073, 36256, R12, R1071, 39492","Lyme Regis, Dorset",NA,NA,UK,NA,Dorset,NA,minutes,outcrop,NA,gp_mid,10.81,37.89,315,UK,NA,NA,NA,NA,member,NA,NA,NA,NA,NA,NA,NA,bucklandi zone,NA,"""siliciclastic""",NA,NA,NA,NA,NA,NA,NA,NA,NA,shallow subtidal indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
885760,occ,NA,NA,42202,Ichthyosaurus breviceps,species,170906,NA,Ichthyosaurus breviceps,NA,species,170906,Semicostatum,NA,196.5,189.6,McGowan,1974,33931,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,NA,NA,6,individuals,-2.933333,50.716667,"BMNH 43006, R216, R1074, R3367, 39263, 33277","Lyme Regis, Dorset",NA,NA,UK,NA,Dorset,NA,minutes,outcrop,NA,gp_mid,10.81,37.89,315,UK,NA,NA,NA,NA,member,NA,NA,NA,NA,NA,NA,NA,bucklandi zone,NA,"""siliciclastic""",NA,NA,NA,NA,NA,NA,NA,NA,NA,shallow subtidal indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
885761,occ,NA,NA,42202,Ichthyosaurus n. sp. conybeari,species,170907,NA,Ichthyosaurus conybeari,NA,species,170907,Semicostatum,NA,196.5,189.6,McGowan,1974,33931,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,NA,NA,2,individuals,-2.933333,50.716667,"BMNH 38523 (holotype, partial skeleton); IGS 956","Lyme Regis, Dorset",NA,NA,UK,NA,Dorset,NA,minutes,outcrop,NA,gp_mid,10.81,37.89,315,UK,NA,NA,NA,NA,member,NA,NA,NA,NA,NA,NA,NA,bucklandi zone,NA,"""siliciclastic""",NA,NA,NA,NA,NA,NA,NA,NA,NA,shallow subtidal indet.,NA,NA,macrofossils,NA,NA,NA,NA,NA,NA,NA,body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,NA,NA,NA,NA,NA,NA,marine,NA,actively mobile,NA,NA,carnivore,viviparous,NA,NA,hydroxyapatite,NA,NA,NA
