Species	Status	min_age	max_age
Phalarodon_fraasi	extinct	237	239.1
Phalarodon_fraasi	extinct	237	239.1
Phalarodon_fraasi	extinct	237	239.1
Phalarodon_fraasi	extinct	237	239.1
Phalarodon_fraasi	extinct	237	239.1
Phalarodon_fraasi	extinct	237	239.1
Phalarodon_fraasi	extinct	237	239.1
Phalarodon_fraasi	extinct	243.43	244.34
Phalarodon_fraasi	extinct	237	246.8
Phalarodon_fraasi	extinct	237	246.8
Phalarodon_major	extinct	243.43	244.34
Phalarodon_major	extinct	243.43	244.34
Platypterygius_hercynicus	extinct	113.14	122.98
Platypterygius_hercynicus	extinct	103.13	103.94
Kyhytysuka_sachicarum	extinct	113.14	130.77
Kyhytysuka_sachicarum	extinct	126.3	127.47
Auroroborealia_incognita	extinct	222.5	226.54
Auroroborealia_incognita	extinct	222.5	226.54
Auroroborealia_incognita	extinct	222.5	226.54
Auroroborealia_incognita	extinct	222.5	226.54
Auroroborealia_incognita	extinct	222.5	226.54
Auroroborealia_incognita	extinct	222.5	226.54
Cymbospondylus_youngorum	extinct	243.43	245.09
Thalattoarchon_saurophagis	extinct	243.43	245.09
Platypterygius_hauthali	extinct	130.77	139.39
Ichthyosaurus_communis	extinct	191.36	199.4
Jabalisaurus_meztli	extinct	152.06	154.73
Sumpalla_argentina	extinct	145.73	150
Stenopterygius_quadriscissus	extinct	181.21	182.9
Ichthyosaurus_breviceps	extinct	183.7	201.36
Tholodus_schmidi	extinct	243.43	245.09
Catutosaurus_gaspariniae	extinct	145.73	150
Catutosaurus_gaspariniae	extinct	139.39	147.72
Catutosaurus_gaspariniae	extinct	139.39	147.72
Parrassaurus_yacahuitztli	extinct	145.73	147.72
Besanosaurus_leptorhynchus	extinct	241.5	242.03
Besanosaurus_leptorhynchus	extinct	241.5	242.03
Besanosaurus_leptorhynchus	extinct	241.5	242.03
Besanosaurus_leptorhynchus	extinct	241.5	242.03
Besanosaurus_leptorhynchus	extinct	241.5	242.03
Caypullisaurus_bonapartei	extinct	145.73	147.72
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Thalassodraco_etchesi	extinct	149.59	150.18
Muiscasaurus_catheti	extinct	113.14	122.98
Temnodontosaurus_crassimanus	extinct	178.24	180.36
Temnodontosaurus_zetlandicus	extinct	178.24	180.36
Temnodontosaurus_zetlandicus	extinct	182.05	182.9
Eretmorhipis_carrolldongi	extinct	246.8	247.39
Eretmorhipis_carrolldongi	extinct	246.8	247.39
Mixosaurus_cornalianus	extinct	241.5	242.03
Mixosaurus_cornalianus	extinct	241.5	242.03
Maiaspondylus_lindoei	extinct	107.59	113.14
Maiaspondylus_lindoei	extinct	107.59	113.14
Maiaspondylus_lindoei	extinct	100.5	107.59
Maiaspondylus_lindoei	extinct	100.5	107.59
Maiaspondylus_lindoei	extinct	100.5	107.59
Maiaspondylus_lindoei	extinct	100.5	107.59
Maiaspondylus_lindoei	extinct	100.5	107.59
Maiaspondylus_lindoei	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
