oid	accepted_name	accepted_rank	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	country_code	references	specimen_no	pbdb_occurrences	gbif_occurrences	lat	lng	utm	paleo_lng	paleo_lat	higher_than	comments
120	Sclerocormus parviceps	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Jiang2016SR	AGM AGB6265	1329760	NA	31.6206	117.819702	NA	NA	NA	118	bed 719
121	Chaohusaurus brevifemoralis	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Huang2019Pa	AGM AGB7403	NA	NA	31.6206	117.819702	NA	NA	NA	117	bed 628
122	Chaohusaurus geishanensis	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Guishan, Anhui Province, China	CN	Motani2015JVP	IVPP V4001	1134402	NA	31.616065	117.809467	NA	NA	NA	NA	locality from Guishan
123	Chaohusaurus geishanensis	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Motani2015JVP	AGM MT10010	1134403	NA	31.6206	117.819702	NA	NA	NA	NA	NA
123	Chaohusaurus geishanensis	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Motani2015JVP	 GMPKU-P-1118	1134403	NA	31.6206	117.819702	NA	NA	NA	NA	NA
124	Chaohusaurus chaoxianensis	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Motani2015JVP	GMPKU-P-3101	1134401	NA	31.6206	117.819702	NA	NA	NA	120	bed 633
125	Chaohusaurus chaoxianensis	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Zhou2017JVP	AGM 2905	388713	NA	31.6206	117.819702	NA	NA	NA	NA	NA
126	Chaohusaurus chaoxianensis	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Zhou2017JVP	GMPKU-P-3188	388714,1378800	NA	31.6206	117.819702	NA	NA	NA	126	bed 617
127	Chaohusaurus chaoxianensis	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Motani2017PRSBBS	NA	NA	NA	31.6206	117.819702	NA	NA	NA	NA	bed 594
128	Chaohusaurus chaoxianensis	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Motani2017PRSBBS	NA	NA	NA	31.6206	117.819702	NA	NA	NA	118	bed 816
129	Chaohusaurus zhangjiawanensis	species	247.79	246.9	Spathian	Nanlinghu Formation	Triassospathodus homeri–T. triangularis conodont biozones	Zhangjiawan Village, Hubei Province, China	CN	Chen2013AGS	WHGMR V26001	1412685	NA	31.379999	111.620003	NA	NA	NA	NA	NA
129	Chaohusaurus zhangjiawanensis	species	247.79	246.9	Spathian	Nanlinghu Formation	Triassospathodus homeri–T. triangularis conodont biozones	Zhangjiawan Village, Hubei Province, China	CN	Chen2013AGS	 WHGMR V26025	1412685	NA	31.379999	111.620003	NA	NA	NA	NA	NA
131	Cymbospondylus petrinus	species	243.43	239.1	Illyrian–Fassanian	Favret Formation	NA	American Canyon, Pershing County,  West Humbolt Range, Nevada, USA	US	Merriam1908MUC	UCMP 9913	467070	NA	40.133331	-118.300003	NA	NA	NA	NA	NA
131	Cymbospondylus petrinus	species	243.43	239.1	Illyrian–Fassanian	Favret Formation	NA	American Canyon, Pershing County,  West Humbolt Range, Nevada, USA	US	Merriam1908MUC	 UCMP 9950	467070	NA	40.133331	-118.300003	NA	NA	NA	NA	NA
132	Cymbospondylus duelferi	species	243.43	239.1	Illyrian–Fassanian	Favret Formation, Fossil Hill Member	Gymnotoceras rotelliformisâMeeki ammonoid biozones	Favret Canyon, Pershing County, Nevada, USA	US	Klein2020JSP	LACM DI 158109	1504406	NA	40.059166	-117.558891	NA	NA	NA	NA	Gymnotoceras rotelliformis–Meeki ammonoid biozones
133	Cymbospondylus petrinus	species	243.43	239.1	Illyrian–Fassanian	Favret Formation	NA	Favret Canyon, Pershing County, Nevada, USA	US	Merriam1905UCBDG	UCMP 9154	934002	NA	38.768055	-119.720833	NA	NA	NA	NA	NA
133	Cymbospondylus petrinus	species	243.43	239.1	Illyrian–Fassanian	Favret Formation	NA	Favret Canyon, Pershing County, Nevada, USA	US	Merriam1905UCBDG	 UCMP 9954	934002	NA	38.768055	-119.720833	NA	NA	NA	NA	NA
135	Cymbospondylus nichollsi	species	243.43	239.1	Illyrian–Fassanian	Favret Formation	NA	Augusta Mountain, Pershing County, Nevada, USA	US	Frobisch2006ZJLS	FMNH PR2251	1417529	NA	40.001389	-117.539444	NA	NA	NA	NA	NA
136	Cymbospondylus buchseri	species	242.03	241.5	Illyrian	Grenzbitumenzone	Nevadites secedensis Ammonite Biozone	Cava Tre Fontane, Monte San Giorgio, Canton Ticino, Switzerland	CH	Sander1989JVP	PIMUZ T4351	884857	NA	45.911945	8.940556	NA	NA	NA	NA	NA
151	Utatsusaurus hataii	species	247.14	247.06	Scythian	Osawa Formation	Subcolumbites Ammonite Biozone	Utatsu-cho, Miyagi Prefecture, Japan	JP	Shikama1978SRTUGa	ICPS 95941	800599	NA	38.713612	141.556946	NA	NA	NA	NA	NA
152	Utatsusaurus hataii	species	247.39	248.8	Scythian	Osawa Formation	Arnautoceltites Ammonite Biozone	Utatsu-cho, Miyagi Prefecture, Japan	JP	Shikama1978SRTUGa	NA	NA	NA	38.713612	141.556946	NA	NA	NA	NA	NA
153	Utatsusaurus hataii	species	247.14	247.06	Spathian	Osawa Formation	Subcolumbites Ammonoid Biozone	Ogatsu, Miyagi Prefecture, Japan	JP	Motani1998N	UHR 30691	821274	NA	38.516666	141.46666	NA	NA	NA	NA	NA
153	Utatsusaurus hataii	species	247.14	247.06	Spathian	Osawa Formation	Subcolumbites Ammonoid Biozone	Ogatsu, Miyagi Prefecture, Japan	JP	Motani1998N	 NSM-VP-20028	821274	NA	38.516666	141.46666	NA	NA	NA	NA	NA
158	Thaisaurus chonglakmanii	species	247.91	247.39	Early Triassic	Phukaotong Dolomite Member, Chaiburi Formation	Columbites parisianus Ammonoid Biozone	Khao Thong, Phattalung, Thailand	TH	Mazin1991CRASS2MPCSUST,Tongtherm2020PR	TF2454	1419474	NA	7.736667	100.066666	NA	NA	NA	NA	NA
159	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Milne Edwardsfjellet, Spitsbergen	SJ	Wiman1929BGIU,Hurum2018NJG	PMU R443	363117	NA	78.24944	17.8338	NA	NA	NA	NA	Location from Hurum et al. (2018) fig. 1
159	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Milne Edwardsfjellet, Spitsbergen	SJ	Wiman1929BGIU,Hurum2018NJG	 PMU R472	363117	NA	78.24944	17.8338	NA	NA	NA	NA	Location from Hurum et al. (2018) fig. 1
159	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Milne Edwardsfjellet, Spitsbergen	SJ	Wiman1929BGIU,Hurum2018NJG	 PMU R447	363117	NA	78.24944	17.8338	NA	NA	NA	NA	Location from Hurum et al. (2018) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	PMU R445	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	 PMU R444	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	 PMU R452	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	 PMU R449	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	 PMU R473	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	 PMU R453	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	 PMU 474	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	 PMU446	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	 PMU R450	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	 PMU R448	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	 PMU R454	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	 PMU R456	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
160	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Agardh Range, Spitsbergen	SJ	Wiman1933NARSSU	 PMU R451	NA	NA	77.57297	18.09185	NA	NA	NA	NA	Location from Mazin (1981) fig. 1
167	Pessopteryx nisseri	species	247.04	246.8	Spathian	Lower Saurian niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Marmierfjellet, Svalbard	SJ	Engelschion2018NJG	PMO 229.778	1420184	NA	78.28112	16.62954	NA	NA	NA	NA	NA
167	Pessopteryx nisseri	species	247.04	246.8	Spathian	Lower Saurian niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Marmierfjellet, Svalbard	SJ	Engelschion2018NJG	 PMO 229.779	1420184	NA	78.28112	16.62954	NA	NA	NA	NA	NA
167	Pessopteryx nisseri	species	247.04	246.8	Spathian	Lower Saurian niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Marmierfjellet, Svalbard	SJ	Engelschion2018NJG	 PMO 229.780	1420184	NA	78.28112	16.62954	NA	NA	NA	NA	NA
167	Pessopteryx nisseri	species	247.04	246.8	Spathian	Lower Saurian niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Marmierfjellet, Svalbard	SJ	Engelschion2018NJG	 PMO 229.782	1420184	NA	78.28112	16.62954	NA	NA	NA	NA	NA
167	Pessopteryx nisseri	species	247.04	246.8	Spathian	Lower Saurian niveau, Vikinghøgda Formation	Keyserlingites subrobustus Ammonoid Biozone	Marmierfjellet, Svalbard	SJ	Engelschion2018NJG	 PMO 229.781	1420184	NA	78.28112	16.62954	NA	NA	NA	NA	NA
171	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Milne Edwardsfjellet, Spitsbergen	SJ	Mazin1981BMNHNP	MNHN SVT 201	1420037	NA	78.24944	17.8338	NA	NA	NA	NA	Location from Maxin (1981) fig. 1
171	Grippia longirostris	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Milne Edwardsfjellet, Spitsbergen	SJ	Mazin1981BMNHNP	 MNHN SVT 202	1420037	NA	78.24944	17.8338	NA	NA	NA	NA	Location from Maxin (1981) fig. 1
172	Quasianosteosaurus vikinghoegdai	species	247.04	246.8	Spathian	Vendomdalen Member, Vikinghøgda Formation	Bajarunia euomphala Ammonoid Biozone	Vikinghøgda, Spitsbergen	SJ	Maisch2003NJGPAa	MNHN SVT 331	1420109	NA	78.28171	16.80844	NA	NA	NA	NA	Location of Vikinghøgda
177	Phalarodon callawayi	species	243.43	239.1	Illyrian–Fassanian	Fossil Hill Member, Favret Formation	NA	Fossil Hill, Augusta Mountains, Nevada	US	Schmitz2004PAP	CMC VP 7275	1419160	NA	40.05605	-117.53272	NA	NA	NA	NA	NA
177	Phalarodon callawayi	species	243.43	239.1	Illyrian–Fassanian	Fossil Hill Member, Favret Formation	NA	Fossil Hill, Augusta Mountains, Nevada	US	Schmitz2004PAP	 FMNH PR 1804	1419160	NA	40.05605	-117.53272	NA	NA	NA	NA	NA
178	Phalarodon callawayi	species	243.43	239.1	Illyrian–Fassanian	Fossil Hill Member, Favret Formation	NA	Humbolt Range, Nevada	US	Schmitz2004PAP	UCMP 11229	NA	NA	40.548058	-118.099998	NA	NA	NA	NA	NA
179	Phalarodon callawayi	species	239.1	235.59	Upper Ladinian–Lower Carnian	Tschermakfjellet Formation	NA	Spitsbergen	SJ	Schmitz2004PAP	PMU R103	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	Phalarodon callawayi	species	239.1	235.59	Upper Ladinian–Lower Carnian	Tschermakfjellet Formation	NA	Spitsbergen	SJ	Schmitz2004PAP	 PMU R184	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	Phalarodon callawayi	species	239.1	235.59	Upper Ladinian–Lower Carnian	Tschermakfjellet Formation	NA	Spitsbergen	SJ	Schmitz2004PAP	 PMU R187	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	Phalarodon callawayi	species	239.1	235.59	Upper Ladinian–Lower Carnian	Tschermakfjellet Formation	NA	Spitsbergen	SJ	Schmitz2004PAP	 PMU R188	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	Phalarodon callawayi	species	239.1	235.59	Upper Ladinian–Lower Carnian	Tschermakfjellet Formation	NA	Spitsbergen	SJ	Schmitz2004PAP	 PMU R189	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	Phalarodon callawayi	species	239.1	235.59	Upper Ladinian–Lower Carnian	Tschermakfjellet Formation	NA	Spitsbergen	SJ	Schmitz2004PAP	 PMU R191	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	Phalarodon callawayi	species	239.1	235.59	Upper Ladinian–Lower Carnian	Tschermakfjellet Formation	NA	Spitsbergen	SJ	Schmitz2004PAP	 PMU R192	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	Phalarodon callawayi	species	239.1	235.59	Upper Ladinian–Lower Carnian	Tschermakfjellet Formation	NA	Spitsbergen	SJ	Schmitz2004PAP	 PMU R475	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	Phalarodon callawayi	species	239.1	235.59	Upper Ladinian–Lower Carnian	Tschermakfjellet Formation	NA	Spitsbergen	SJ	Schmitz2004PAP	 PMU R492	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	Phalarodon callawayi	species	239.1	235.59	Upper Ladinian–Lower Carnian	Tschermakfjellet Formation	NA	Spitsbergen	SJ	Schmitz2004PAP	 NRM R34	NA	NA	NA	NA	NA	NA	NA	NA	NA
183	Phalarodon callawayi	species	247.39	239.1	Spathian–early Ladinian	Sulphur Mountain Formation	NA	Locality D, Wapiti Lake, British Columnbia	CA	Nicholls1999PAP,Schmitz2004PAP	TMP 89.127.15	NA	NA	54.51669	-120.72386	NA	NA	NA	NA	NA
184	Phalarodon cf. fraasi	species	247.39	239.1	Spathian–early Ladinian	Sulphur Mountain Formation	NA	Locality D, Wapiti Lake, British Columnbia	CA	Schmitz2005JVP	TMP 89.127.14	1419116	NA	54.51669	-120.72386	NA	NA	NA	NA	NA
185	Phalarodon callawayi	species	247.39	239.1	Middle Triassic	Sulphur Mountain Formation	NA	Locality T, Wapiti Lake, British Columnbia	CA	Nicholls1999PAP,Schmitz2004PAP	TMP 88.99.18	NA	NA	54.50839	-120.70418	NA	NA	NA	NA	NA
185	Phalarodon callawayi	species	247.39	239.1	Middle Triassic	Sulphur Mountain Formation	NA	Locality T, Wapiti Lake, British Columnbia	CA	Nicholls1999PAP,Schmitz2004PAP	 TMP 89.126.4	NA	NA	54.50839	-120.70418	NA	NA	NA	NA	NA
185	Phalarodon callawayi	species	247.39	239.1	Middle Triassic	Sulphur Mountain Formation	NA	Locality T, Wapiti Lake, British Columnbia	CA	Nicholls1999PAP,Schmitz2004PAP	 TMP 89.126.5	NA	NA	54.50839	-120.70418	NA	NA	NA	NA	NA
