accepted_name	max_ma	min_ma
Maiaspondylus_cantabridgiensis	107.59	100.5
Maiaspondylus_cantabridgiensis	107.59	100.5
Maiaspondylus_cantabridgiensis	107.59	100.5
Maiaspondylus_cantabridgiensis	107.59	100.5
Maiaspondylus_cantabridgiensis	107.59	100.5
Maiaspondylus_cantabridgiensis	107.59	100.5
Maiaspondylus_cantabridgiensis	107.59	100.5
Maiaspondylus_cantabridgiensis	107.59	100.5
Maiaspondylus_cantabridgiensis	107.59	100.5
Maiaspondylus_cantabridgiensis	107.59	100.5
Maiaspondylus_cantabridgiensis	107.59	100.5
Maiaspondylus_cantabridgiensis	107.59	100.5
Maiaspondylus_cantabridgiensis	111.27	110.87
Maiaspondylus_cantabridgiensis	111.27	110.87
Eretmorhipis_carrolldongi	247.39	246.8
Hauffiopteryx_altera	182.9	182.05
Hauffiopteryx_typicus	188.29	185.09
Hauffiopteryx_typicus	182.9	182.05
Hauffiopteryx_typicus	182.9	182.05
Hauffiopteryx_typicus	182.9	182.05
Hauffiopteryx_typicus	182.9	180.36
Hauffiopteryx_typicus	182.9	180.36
Hauffiopteryx_typicus	182.9	180.36
Hauffiopteryx_typicus	182.9	180.36
Nannopterygius_enthekiodon	154.73	147.72
Nannopterygius_enthekiodon	154.73	147.72
Nannopterygius_enthekiodon	150.66	150.18
Nannopterygius_enthekiodon	151.5	151.04
Nannopterygius_enthekiodon	150.66	150.18
Nannopterygius_enthekiodon	150.66	150.18
Nannopterygius_enthekiodon	150.66	150.18
Nannopterygius_enthekiodon	150.66	150.18
Nannopterygius_enthekiodon	150.66	150.18
Nannopterygius_enthekiodon	154.73	147.72
Nannopterygius_enthekiodon	154.73	147.72
Nannopterygius_enthekiodon	154.73	147.72
Nannopterygius_enthekiodon	154.73	147.72
Nannopterygius_enthekiodon	154.73	147.72
Nannopterygius_saveljeviensis	147.93	147.45
Nannopterygius_saveljeviensis	149.59	147.53
Nannopterygius_yasykovi	147.45	146.9
Nannopterygius_saveljeviensis	147.45	146.9
Nannopterygius_saveljeviensis	147.45	146.9
Nannopterygius_saveljeviensis	147.45	146.9
Nannopterygius_saveljeviensis	147.45	146.9
Nannopterygius_saveljeviensis	147.45	146.9
Nannopterygius_saveljeviensis	147.45	146.9
Nannopterygius_yasykovi	146.96	146.45
Nannopterygius_saveljeviensis	146.96	146.45
Nannopterygius_saveljeviensis	146.72	146.45
Nannopterygius_yasykovi	147.93	147.45
Nannopterygius_yasykovi	147.93	147.45
Nannopterygius_saveljeviensis	149.59	147.53
Nannopterygius_borealis	141.75	141.15
Nannopterygius_borealis	144.67	144.1
Protoichthyosaurus_prostaxalis	197.95	196.4
Protoichthyosaurus_prostaxalis	201.08	200.91
Protoichthyosaurus_prostaxalis	201.08	200.91
Eurhinosaurus_longirostris	181.21	180.36
Ichthyosaurus_conybeari	199.36	197.95
Ichthyosaurus_conybeari	200.16	197.95
Ichthyosaurus_conybeari	200.16	197.95
Ichthyosaurus_conybeari	191.05	190.74
Temnodontosaurus_trigonodon	183.7	180.36
Brachypterygius_extremus	157.25	152.06
Brachypterygius_extremus	157.25	152.06
Guizhouichthyosaurus_tangae	244.34	244.14
Guizhouichthyosaurus_tangae	244.34	244.14
Ophthalmosaurus_icenicus	163.1	152.06
Wahlisaurus_massarae	201.36	201.16
Temnodontosaurus_trigonodon	183.7	180.36
Ichthyosaurus_acutirostris	183.7	180.36
Ichthyosaurus_somersetensis	201.08	200.99
Tholodus_schmidi	246.8	237
Ichthyosaurus_communis	199.76	198.89
Temnodontosaurus_platyodon	182.9	180.36
Platypterygius_australis	107.59	100.5
Platypterygius_australis	107.59	100.5
Platypterygius_australis	107.59	100.5
Platypterygius_australis	107.59	100.5
Platypterygius_australis	107.59	100.5
Platypterygius_australis	107.59	100.5
Platypterygius_australis	107.59	100.5
